strain,bw
129S1/SvImJ,24.2
129S1/SvImJ,20.7
129S1/SvImJ,20
129S1/SvImJ,21.8
129S1/SvImJ,24.1
129S1/SvImJ,21.2
129S1/SvImJ,21.8
129S1/SvImJ,20.5
129S1/SvImJ,20.2
129S1/SvImJ,20.5
129S1/SvImJ,20.1
129S1/SvImJ,19.7
129S1/SvImJ,20.5
129S1/SvImJ,20.6
129S1/SvImJ,18.5
129S1/SvImJ,19.8
129S1/SvImJ,27.7
129S1/SvImJ,27.4
129S1/SvImJ,30.3
129S1/SvImJ,28
129S1/SvImJ,26.8
129S1/SvImJ,28.8
129S1/SvImJ,28.2
129S1/SvImJ,24.5
129S1/SvImJ,22.8
129S1/SvImJ,24.6
129S1/SvImJ,23.3
129S1/SvImJ,22.1
129S1/SvImJ,24.6
129S1/SvImJ,24
129S1/SvImJ,24.8
129S1/SvImJ,22.8
A/J,20.2
A/J,21.7
A/J,19.4
A/J,18.6
A/J,21.3
A/J,20.3
A/J,18.9
A/J,20.7
A/J,18.4
A/J,19.9
A/J,21.7
A/J,20.1
A/J,19.4
A/J,18.2
A/J,19
A/J,19.4
A/J,24.4
A/J,24.5
A/J,23.8
A/J,22.3
A/J,23.2
A/J,23.7
A/J,22.4
A/J,22.9
A/J,23.5
A/J,22.7
A/J,23.7
A/J,24.7
A/J,22
A/J,22.8
A/J,25.1
A/J,23.1
C57BL/6J,18.9
C57BL/6J,18.4
C57BL/6J,17.6
C57BL/6J,19
C57BL/6J,21.1
C57BL/6J,21.4
C57BL/6J,19.8
C57BL/6J,18.1
C57BL/6J,18.5
C57BL/6J,20.7
C57BL/6J,20.2
C57BL/6J,19
C57BL/6J,17.9
C57BL/6J,18.8
C57BL/6J,19
C57BL/6J,20.9
C57BL/6J,25.9
C57BL/6J,25.9
C57BL/6J,27.6
C57BL/6J,24.7
C57BL/6J,27.5
C57BL/6J,28.9
C57BL/6J,25.4
C57BL/6J,27.6
C57BL/6J,27.7
C57BL/6J,29.7
C57BL/6J,27.9
C57BL/6J,25.2
C57BL/6J,24.9
C57BL/6J,25.2
C57BL/6J,24
C57BL/6J,24.9
CAST/EiJ,12.6
CAST/EiJ,13.2
CAST/EiJ,12.6
CAST/EiJ,12.3
CAST/EiJ,13.1
CAST/EiJ,14.6
CAST/EiJ,12.5
CAST/EiJ,13
CAST/EiJ,13
CAST/EiJ,12.1
CAST/EiJ,12
CAST/EiJ,12.6
CAST/EiJ,12.7
CAST/EiJ,12.3
CAST/EiJ,13.1
CAST/EiJ,13.2
CAST/EiJ,12.2
CAST/EiJ,13.5
CAST/EiJ,12.7
CAST/EiJ,14.7
CAST/EiJ,15.8
CAST/EiJ,16.3
CAST/EiJ,15.4
CAST/EiJ,17.1
CAST/EiJ,15
CAST/EiJ,16
CAST/EiJ,16.7
CAST/EiJ,15.7
CAST/EiJ,16.1
CAST/EiJ,15.6
CAST/EiJ,15.3
CAST/EiJ,15.8
CAST/EiJ,17.1
CAST/EiJ,14.3
CAST/EiJ,15.9
CAST/EiJ,15.5
NOD/ShiLtJ,23.2
NOD/ShiLtJ,19.7
NOD/ShiLtJ,22
NOD/ShiLtJ,22.9
NOD/ShiLtJ,23.8
NOD/ShiLtJ,23.6
NOD/ShiLtJ,24.2
NOD/ShiLtJ,20.9
NOD/ShiLtJ,20.6
NOD/ShiLtJ,22.1
NOD/ShiLtJ,21.6
NOD/ShiLtJ,22.9
NOD/ShiLtJ,21.6
NOD/ShiLtJ,22.5
NOD/ShiLtJ,22.8
NOD/ShiLtJ,22.5
NOD/ShiLtJ,22.7
NOD/ShiLtJ,25.2
NOD/ShiLtJ,31.9
NOD/ShiLtJ,27.8
NOD/ShiLtJ,26.3
NOD/ShiLtJ,25.4
NOD/ShiLtJ,29
NOD/ShiLtJ,28.3
NOD/ShiLtJ,27.8
NOD/ShiLtJ,28.5
NOD/ShiLtJ,33
NOD/ShiLtJ,31.3
NOD/ShiLtJ,27.2
NOD/ShiLtJ,26.4
NOD/ShiLtJ,25.1
NOD/ShiLtJ,27.4
NOD/ShiLtJ,28
NOD/ShiLtJ,26.4
NZO/HlLtJ,39.8
NZO/HlLtJ,41.8
NZO/HlLtJ,41.3
NZO/HlLtJ,38.6
NZO/HlLtJ,37.9
NZO/HlLtJ,38.9
NZO/HlLtJ,40.4
NZO/HlLtJ,40.2
NZO/HlLtJ,42.2
NZO/HlLtJ,42.2
NZO/HlLtJ,40.7
NZO/HlLtJ,45.3
NZO/HlLtJ,39.2
NZO/HlLtJ,34.1
NZO/HlLtJ,38.9
NZO/HlLtJ,36.7
NZO/HlLtJ,33
NZO/HlLtJ,42.2
NZO/HlLtJ,40.3
NZO/HlLtJ,43.5
NZO/HlLtJ,42.1
NZO/HlLtJ,45.8
NZO/HlLtJ,47.5
PWK/PhJ,47.4
NZO/HlLtJ,40.8
NZO/HlLtJ,49.9
NZO/HlLtJ,50.5
NZO/HlLtJ,45
NZO/HlLtJ,49.5
NZO/HlLtJ,45.9
NZO/HlLtJ,48.1
NZO/HlLtJ,45.7
NZO/HlLtJ,46.4
NZO/HlLtJ,43.8
PWK/PhJ,13.6
PWK/PhJ,13.7
PWK/PhJ,13.2
PWK/PhJ,13.1
PWK/PhJ,11.9
PWK/PhJ,12.1
PWK/PhJ,11.9
PWK/PhJ,13.6
PWK/PhJ,14.5
PWK/PhJ,14.5
PWK/PhJ,16.4
PWK/PhJ,15.9
PWK/PhJ,16.1
PWK/PhJ,14.5
PWK/PhJ,13.1
PWK/PhJ,16.1
PWK/PhJ,15
PWK/PhJ,15.2
PWK/PhJ,14.9
PWK/PhJ,14.1
PWK/PhJ,14.7
PWK/PhJ,14.9
PWK/PhJ,17
PWK/PhJ,15.1
PWK/PhJ,15.4
PWK/PhJ,16.2
PWK/PhJ,15.6
PWK/PhJ,17.5
PWK/PhJ,17
PWK/PhJ,18.1
PWK/PhJ,17.4
PWK/PhJ,15.9
PWK/PhJ,19
PWK/PhJ,19.1
PWK/PhJ,18.3
PWK/PhJ,19.5
PWK/PhJ,20.1
PWK/PhJ,17.8
PWK/PhJ,17.6
PWK/PhJ,17.4
PWK/PhJ,18.4
PWK/PhJ,18.4
WSB/EiJ,15.9
WSB/EiJ,14.5
WSB/EiJ,17
WSB/EiJ,14.2
WSB/EiJ,12.6
WSB/EiJ,13.2
WSB/EiJ,12.8
WSB/EiJ,11.8
WSB/EiJ,13.7
WSB/EiJ,12.9
WSB/EiJ,12.6
WSB/EiJ,14.7
WSB/EiJ,11.5
WSB/EiJ,17.8
WSB/EiJ,14.3
WSB/EiJ,15.6
WSB/EiJ,13.4
WSB/EiJ,13.2
WSB/EiJ,16.9
WSB/EiJ,16.7
WSB/EiJ,16.2
WSB/EiJ,16.7
WSB/EiJ,17.3
WSB/EiJ,15.7
WSB/EiJ,16.3
WSB/EiJ,15
WSB/EiJ,15.5
WSB/EiJ,15.3
WSB/EiJ,13.6
WSB/EiJ,14.9
WSB/EiJ,15.9
WSB/EiJ,15.9
WSB/EiJ,17.1
WSB/EiJ,17.9