"","AGE3","irsex","IREDUHIGHST2","WRKSTATWK2","income","NOMARR2","addprev","yodprev","yorelig","adrelig","HEALTH2","snrldcsn","hltinmnt","snrlgsvc","cigtry","COUTYP4","NEWRACE2","service","LVLDIFCARE2","WRKDHRSWK2","illflag"
"AGE3",1,0.0615788897777552,0.66277810238396,-0.0739346479172514,0.0573715677296334,0.256105727437691,0.132340789409978,-0.127328216311362,-0.0611535140866174,-0.0584643441598112,0.186258674054848,0.181006526885824,0.0178568778241116,0.127296384814337,-0.40422376881379,0.00895527975733069,-0.159981080377625,-0.185458370982857,-0.055245027734899,0.308847798808914,0.20153694722886
"irsex",0.0615788897777552,1,0.0785793281147244,0.0473626520591301,-0.0616143174169866,0.00476493691519589,-0.0815109794350478,-0.212939516853764,0.0342501588658914,0.0273094518817592,0.0419164611609612,0.0707486977047035,-0.0285590795590431,0.0458011033465857,0.035843485215361,0.00766356011924348,-0.00500312265155244,0.18308070703804,-0.0156723984680891,-0.139507042088779,-0.00836579652192863
"IREDUHIGHST2",0.66277810238396,0.0785793281147244,1,-0.303956714187242,0.163971287649793,-0.0805357956343246,-0.0677575001620049,-0.130106089012542,-0.0684362110870724,0.0154156582229734,0.00753683919005395,0.000308678096114415,0.0112388257937564,0.107640223937855,-0.270679511669747,-0.0327174659651055,-0.165612869149289,-0.0510636860626941,-0.0466584445935392,0.225495430441682,0.249161936161261
"WRKSTATWK2",-0.0739346479172514,0.0473626520591301,-0.303956714187242,1,-0.21422007391634,0.102544130975445,0.0583374989154392,0.0685172301986342,0.101202746453446,-0.0090259252895251,0.0739124647117366,0.0626765503855151,0.0319488592857112,-0.00309296045061334,0.0903232673584586,0.00620218244556985,0.0547499661054323,-0.0631590595259797,0.0332640951127785,-0.696019850032434,-0.142424884223585
"income",0.0573715677296334,-0.0616143174169866,0.163971287649793,-0.21422007391634,1,-0.0705200019506968,0.0181236686255354,-0.0278167529515027,0.00891878568890196,0.0170592254163862,-0.167348149096072,-0.00442664538518131,-0.163113388772669,0.0954545924211995,0.0266989082217668,-0.117508594247804,-0.152655945008811,-0.0392820163043442,-0.0357204085614002,0.164233651635572,-0.00600780542617362
"NOMARR2",0.256105727437691,0.00476493691519589,-0.0805357956343246,0.102544130975445,-0.0705200019506968,1,-0.0203042146186657,NA,NA,0.0131282886756856,0.110291433743481,0.0352672009315972,-0.0183997345043734,-0.025682020741607,-0.114693562827206,0.0580826910801145,-0.0642859131805138,-0.114673297483975,0.0271046395013157,-0.00416736006163391,0.0732591869332873
"addprev",0.132340789409978,-0.0815109794350478,-0.0677575001620049,0.0583374989154392,0.0181236686255354,-0.0203042146186657,1,NA,NA,0.00719412638166875,-0.145203500192915,0.0972596274879634,0.0966918949726097,0.0434880714788981,0.0982912160364254,-0.0327102715673792,0.0528618414836365,-0.0345271293556078,-0.020658584210141,0.0765889135388281,-0.226021852691028
"yodprev",-0.127328216311362,-0.212939516853764,-0.130106089012542,0.0685172301986342,-0.0278167529515027,NA,NA,1,-0.0137103602157923,NA,-0.214802416742871,NA,0.0327255445692119,NA,0.116620538553647,0.000400190309589702,0.00662787843291299,NA,0.0188687783900378,-0.0480704639692927,-0.202499611069686
"yorelig",-0.0611535140866174,0.0342501588658914,-0.0684362110870724,0.101202746453446,0.00891878568890196,NA,NA,-0.0137103602157923,1,NA,0.0232798006166426,NA,0.0227904535230093,NA,-0.0364702467361386,0.0233798490873537,-0.0267929799263707,NA,-0.000225187992268351,-0.0950879946234685,-0.0131810002804022
"adrelig",-0.0584643441598112,0.0273094518817592,0.0154156582229734,-0.0090259252895251,0.0170592254163862,0.0131282886756856,0.00719412638166875,NA,NA,1,-0.00552627142018752,-0.292894226698916,-0.0473739543934085,-0.402586227134753,-0.0480603199931917,-0.0248678779171204,-0.0276783558305173,0.0321273993813302,-0.00489991342510056,0.00349329197468363,0.109224229553215
"HEALTH2",0.186258674054848,0.0419164611609612,0.00753683919005395,0.0739124647117366,-0.167348149096072,0.110291433743481,-0.145203500192915,-0.214802416742871,0.0232798006166426,-0.00552627142018752,1,-0.0357102465854277,-0.0140778198184205,-0.0828278914072798,-0.189179775630497,0.0609612001882723,-0.0026699460751144,-0.041556566945311,0.0205040048745063,0.00466533188554593,0.146730075324402
"snrldcsn",0.181006526885824,0.0707486977047035,0.000308678096114415,0.0626765503855151,-0.00442664538518131,0.0352672009315972,0.0972596274879634,NA,NA,-0.292894226698916,-0.0357102465854277,1,0.0413905374213303,0.517595862479724,0.0902707033910649,0.0324560770967956,0.0132286092241587,-0.0252152687813538,-0.0311660576422258,-0.00654727152861451,-0.199513592822026
"hltinmnt",0.0178568778241116,-0.0285590795590431,0.0112388257937564,0.0319488592857112,-0.163113388772669,-0.0183997345043734,0.0966918949726097,0.0327255445692119,0.0227904535230093,-0.0473739543934085,-0.0140778198184205,0.0413905374213303,1,0.00834851727289014,0.0305490532582303,0.036236157644115,0.060790752245587,-0.00169011294596706,3.41218592310151e-06,-0.0156390102888585,-0.0610658615021693
"snrlgsvc",0.127296384814337,0.0458011033465857,0.107640223937855,-0.00309296045061334,0.0954545924211995,-0.025682020741607,0.0434880714788981,NA,NA,-0.402586227134753,-0.0828278914072798,0.517595862479724,0.00834851727289014,1,0.114474822272582,0.035297949493414,-0.0462945843958467,-0.0198855925736195,-0.0191828801210299,-0.0336192826388638,-0.183931472039858
"cigtry",-0.40422376881379,0.035843485215361,-0.270679511669747,0.0903232673584586,0.0266989082217668,-0.114693562827206,0.0982912160364254,0.116620538553647,-0.0364702467361386,-0.0480603199931917,-0.189179775630497,0.0902707033910649,0.0305490532582303,0.114474822272582,1,-0.06383770719894,0.128198701894372,0.103662089924445,0.00993037682583715,-0.146462620759609,-0.485541611267001
"COUTYP4",0.00895527975733069,0.00766356011924348,-0.0327174659651055,0.00620218244556985,-0.117508594247804,0.0580826910801145,-0.0327102715673792,0.000400190309589702,0.0233798490873537,-0.0248678779171204,0.0609612001882723,0.0324560770967956,0.036236157644115,0.035297949493414,-0.06383770719894,1,-0.153401897086731,-0.024763029027183,0.00603426583232869,0.00156862897746691,0.00548584393496487
"NEWRACE2",-0.159981080377625,-0.00500312265155244,-0.165612869149289,0.0547499661054323,-0.152655945008811,-0.0642859131805138,0.0528618414836365,0.00662787843291299,-0.0267929799263707,-0.0276783558305173,-0.0026699460751144,0.0132286092241587,0.060790752245587,-0.0462945843958467,0.128198701894372,-0.153401897086731,1,0.0634058316991938,0.0016501280397335,-0.0315876365097793,-0.0998805864689876
"service",-0.185458370982857,0.18308070703804,-0.0510636860626941,-0.0631590595259797,-0.0392820163043442,-0.114673297483975,-0.0345271293556078,NA,NA,0.0321273993813302,-0.041556566945311,-0.0252152687813538,-0.00169011294596706,-0.0198855925736195,0.103662089924445,-0.024763029027183,0.0634058316991938,1,0.00733568667219279,-0.0548544187471193,-0.00951997455861965
"LVLDIFCARE2",-0.055245027734899,-0.0156723984680891,-0.0466584445935392,0.0332640951127785,-0.0357204085614002,0.0271046395013157,-0.020658584210141,0.0188687783900378,-0.000225187992268351,-0.00489991342510056,0.0205040048745063,-0.0311660576422258,3.41218592310151e-06,-0.0191828801210299,0.00993037682583715,0.00603426583232869,0.0016501280397335,0.00733568667219279,1,-0.0371782145968156,0.0146417358434808
"WRKDHRSWK2",0.308847798808914,-0.139507042088779,0.225495430441682,-0.696019850032434,0.164233651635572,-0.00416736006163391,0.0765889135388281,-0.0480704639692927,-0.0950879946234685,0.00349329197468363,0.00466533188554593,-0.00654727152861451,-0.0156390102888585,-0.0336192826388638,-0.146462620759609,0.00156862897746691,-0.0315876365097793,-0.0548544187471193,-0.0371782145968156,1,0.0710918811678477
"illflag",0.20153694722886,-0.00836579652192863,0.249161936161261,-0.142424884223585,-0.00600780542617362,0.0732591869332873,-0.226021852691028,-0.202499611069686,-0.0131810002804022,0.109224229553215,0.146730075324402,-0.199513592822026,-0.0610658615021693,-0.183931472039858,-0.485541611267001,0.00548584393496487,-0.0998805864689876,-0.00951997455861965,0.0146417358434808,0.0710918811678477,1
